,ISO,Debt_sustainability,Filed Patents,BLI_scaled,carbon_intensity,IMF-Adapted Readiness score_scaled,Vulnerability score_scaled,Biocapacity,Renewable_value_scaled,Mineral_value_scaled,GCP_scaled,Sovereign risk,Biocapacity_GDP,GeoV,GeoC,Renewable_value_pc_scaled,Storage_Potential_Per_Capita,Storage_Potential_Per_GDP,manufacturing_share,bii,TDG,External_Debt_GDP,Debt_Export_GDP,Debt_Service_export,Debt_Budget_Revenue,Short_term_on_gov_debt,Short_term_on_reserves,debt_service_UNCTAD,interest_rate_GDP_growth_differential
0,ALB,44.71694165345209,0.0,816.79579424458,0.06771153453279463,49.047045417899675,34.2463485525542,0.1847251215818405,7.836120702831961,0.7135877238875773,2324.249572193953,35.0,0.9366520247955942,3.1102244041486196,22.705472165331358,11.783165132893904,152.7163589970312,137.5400508905882,14.154715175438676,0.665819525718689,66.749,34.21163680054678,33.71404065108902,8.354539634616913,75.0265008349736,52.5495422283165,27.87674480427119,82.68775238014302,21.28271754711175
1,DZA,38.84680599456614,0.0009918131773092188,8400.694449748868,47.56139454423896,31.622226045108327,28.659978382889367,1.6365119994220596,,,142.67882057163098,,0.77789110638948,65.84669661747917,51.922157014093585,,79.65718096112631,114.6886199422547,19.513957328375962,0.96933114528656,55.363,21.23319609438556,27.07579894376005,4.36891919942741,73.23427664560083,47.10117663050328,20.21994498855589,79.69354284730913,21.33139860155309
2,AGO,45.76145353434796,0.0,9278.944024085247,11.200529772305831,24.96572592841882,65.33112573902791,2.8684450456100756,13.172418763694713,0.19795979058965293,116.7316112331406,18.83561611175537,3.987613149234998,27.64806495993134,50.48818266471042,5.923646413091547,130.96556982932233,437.94460273678465,16.63301615154235,0.7607461810112,59.202,40.7427286241309,23.52051810560141,12.99138053316733,82.65014300044881,38.14948636886268,26.15084430218776,94.98227268623096,33.46370818850193
3,ATG,61.22569406744059,0.0,1100.3444336620464,45.80472686729871,50.06396346193025,54.979264274308036,0.0019352727389915533,,,879.7307223073564,,0.2768058649208235,17.14379190412137,0.0,,,,4.451315100612858,1.0,79.905,26.47283475538188,93.52018818831056,77.81875379382723,83.39293852039181,62.39220425787539,22.18031374591684,83.2351593307026,22.11385401455891
4,ARG,49.75356065340051,0.20129840246667904,672.7963994853653,25.75775156291359,49.56976818337016,30.53573940010152,15.119250758548441,2.8228468588036253,1.7976432933163564,1756.693774352956,13.333333333333336,2.7565187621942098,23.232092287663153,45.31788669334645,7.209960967829813,415.7216860432017,226.2995865246109,35.0798004991843,0.707134485244751,73.581,28.91995493874117,43.60847862633671,15.22503308162254,74.26232049353361,42.61859368085527,42.05273329547917,84.62915720776974,42.88477455626637
5,ARM,38.86359941901668,0.0,26.92640242326565,18.622343789054128,49.91574046408713,28.15984503677718,0.1286069490321629,3.180782078924433,17.72872242125021,1405.8762728300403,36.66666666666667,0.6410096165776256,24.095430501367975,17.57355552455529,4.810448149621286,157.60763157093203,149.8047748131879,22.312133821358795,0.700294971466064,50.175,30.81543789722275,14.77467488897355,4.112111434473718,71.54528766832593,43.78551596919259,27.1826407702771,85.10789216588483,22.27383397679969
6,AUS,48.45412210882567,2.2024401777963973,2570.0438512321625,41.53149417808482,88.7584619888342,13.879733513963563,18.29689468921359,4.148688709515574,35.61368637781446,1405.6339819207024,100.0,1.245782071465465,46.415607228568625,64.44350575739466,51.62054545268724,1051.4958507194417,125.25016651492137,10.795933580468942,0.696458160877228,62.441,40.68383940113404,31.96763666820635,6.262792544139302,69.09324579955792,76.9281847175623,47.90375995167516,78.59905277944745,22.20758711770848
7,AUT,49.56423978675408,0.5710463549675558,271.8444115715819,6.865280557190795,90.73549161273718,12.156619808944393,1.484183948442015,1.0440483925332233,0.43730809847515256,6700.744378014307,95.0,0.34007384125841633,13.875772447545712,27.3551525447746,10.98569773504032,141.68990539437672,19.528865489176727,34.09228794477462,0.72623747587204,72.609,47.12834112828421,22.92233696985136,2.333415866228961,65.30858714765317,79.79170601915823,53.79377943611519,78.25781194310764,23.93317957038798
8,AZE,35.91710805242658,0.0,9082.597262214369,50.39473871102699,43.43594842985449,40.083282473599944,0.5560498570224952,3.0786421613939843,1.2050733176599482,334.0120092289663,48.33333333333335,0.908060151449441,51.89684120893965,42.1690158168829,3.8379903508077207,68.56650823546573,74.23769990110654,11.71793730129532,0.70293664932251,23.374,27.42628449266442,10.89319077413262,1.609510450746484,50.45272975072818,75.73996280554132,29.72005710633645,77.99844845515199,26.03978863653784
9,BHS,69.10095100148766,0.0,1635.5336528061446,,52.6899603701158,52.06124911092549,,,,790.4521289349254,41.43150568008423,,28.24318441976863,80.21379107914073,,62.59173895659724,12.643839897435107,1.1428360437354153,0.939852058887482,83.516,84.28193271388614,65.31651633724863,49.06647052048447,84.45074040518124,89.28639337303652,55.03777926499855,89.84211860080839,21.11060779774506
10,BHR,62.99901585873445,0.0,2257.9083448843944,68.51321459815011,58.93473096598879,46.4731476018543,0.03807995819418236,0.10591280858477993,0.19795979058965293,1245.8003445498698,33.333333333333336,0.10228581774147225,30.33518847792149,88.16859357273556,0.43985441317890095,,,44.77145254199167,1.0,127.921,61.59505618967023,27.5721656355559,7.216327752967118,93.81703799379255,84.90319838974655,48.52508685929883,92.90655740253253,22.53471250504645
11,BGD,44.60720591167079,0.0,4.161185214282881,51.418320878550404,32.7159999961999,76.84914741326135,2.2239757674039264,10.360008864667023,0.19795979058965293,1264.5994201945578,40.0,0.5976009033344668,64.85957406112936,59.216171620792636,4.748289203131195,6.536357149744701,19.788310759436783,48.4343101711787,0.369727343320847,42.389,21.68504208107504,37.18489884759248,15.19939414367082,89.23708035164947,52.42634885024947,36.650947430678,82.8400462045179,23.85209529560392
12,BRB,66.55602271121215,0.0,804.692654227539,44.938536424644695,75.59167198605267,30.646957345776173,0.0,,,2041.2510061183834,17.5,0.04805098386878445,33.20405133330927,85.9590398973412,,,,11.312976222508995,0.926104485988617,107.077,76.14714537777002,61.99285246905453,43.12756775726757,83.72885984142135,74.14860802157497,38.02963926216387,94.41595383802641,20.3365778336306
13,BLR,37.40767843303062,1.9836263546184375e-05,1509.616930098196,26.570828193938787,42.95093244341039,18.744994859494753,1.8068994951161634,4.133982900012793,0.19795979058965293,3809.739666175206,28.333333333333332,2.966289971395792,18.489229090900686,51.103319116240144,5.6143897789280794,277.64414851651173,271.53533250005637,49.913194948973114,0.765685677528381,40.348,21.87062834088783,12.25408404467078,2.412880495700165,58.36908947177021,65.45993235961859,30.22970414523408,81.17816366675213,24.54662337264181
14,BEL,53.87259789133887,0.039593182038184016,637.8401737224293,8.68179287194437,80.03936172992955,19.77583180527515,0.6583253972788202,0.3046069389161017,0.19795979058965293,6376.726656072883,86.66666666666664,0.11838028987855626,13.02655492219029,33.21220859873032,3.0505177072782432,33.67468355729753,4.7553367557590445,23.856532974470174,0.638174474239349,108.264,50.13885474983135,18.43244259469333,1.968806722270983,73.33312701769019,78.66883837908404,50.77921365536297,80.85579093324436,22.41230696987265
15,BLZ,53.30348701667265,0.0,533.381425805252,10.290884417307918,38.345566673229,53.34142886500067,0.07669546930439824,10.871244227094863,0.19795979058965293,1141.4366892704754,8.924657702445986,3.0561002153354915,47.863926188823314,81.42497608236643,15.369242578987816,635.6756971834972,658.0870040175295,12.866011613354592,0.904595077037811,58.454,64.12550319190984,36.05191780989594,11.63173264812485,76.7981882961117,79.56782936168564,45.29734432250707,83.55717427655102,24.24769324326786
16,BEN,41.76086930548621,0.0,594.4924822438625,44.158964246683894,37.56213955934449,81.23574173823415,0.46609705607030033,39.89183501066022,0.19795979058965293,928.146326303037,32.93835639953613,2.8070731649992773,9.646827371041775,17.365678943945166,11.219636867374861,29.400943954057674,162.86565973214456,21.213994962954246,0.856325566768646,51.645,34.4301343919642,30.09210688318711,6.854748190413829,81.68923048487176,44.06367693926047,26.0470740069355,81.19710641666039,19.82874643608262
17,BTN,53.4070408530903,0.0,60.6017029425324,0.05026759360709026,47.22459752612227,69.87761388776616,,,,529.4548219300923,,,0.0,8.17787238237233,,527.2813122158841,1060.6311860872045,,0.830990016460419,130.383,34.32585222563387,43.1939876045081,5.950256142794842,88.13163171529563,48.02532809370373,25.67768144699395,81.54847170998787,23.42715873889464
18,BOL,51.01842576069381,0.0,2706.2622839167057,36.29403516740525,32.40398591679103,49.64289520242654,9.409170900588945,5.394007732357176,14.227179103300594,520.879611970307,31.666666666666664,24.57804756844836,39.71980060211515,50.27197231803455,3.518397890271506,539.6877125648053,1130.6824224871084,21.48769453829297,0.79813951253891,83.077,27.98240641955772,38.28658859816005,9.279938511633645,78.89317739034173,62.23479753091678,53.10055048878601,83.64408278130645,22.66729012554184
19,BIH,36.37403112565679,0.0,205.6512799543869,45.89970994146147,41.74956803197034,24.739821860877626,0.450221598887227,6.5120347708885165,2.8621682654120835,3372.9637879306288,27.500000000000004,1.9386377470561111,11.29710811530132,8.453021433016104,9.744435004215205,177.07683397305834,157.86239801799437,28.435689663854973,0.695039331912994,27.34,30.81642351142523,14.27756184783391,2.359842742959017,51.32909471939747,74.01514868682432,26.41242555636189,78.51805588175503,22.29772718435424
20,BWA,33.91520068205918,0.0,27.355341554197032,64.38269584883895,46.800815555038845,46.32374506070112,0.4234633571767115,4.69523613937796,1.0719274342628504,345.36098265123877,68.26712369918825,2.5885291397064547,21.746067251099312,52.46006173257841,6.371360166183996,473.11278347350105,466.8653410289788,11.386091639712673,0.827091157436371,19.305,27.12086762218155,14.77552264003583,3.467255524959228,54.79086889804909,62.42610742290923,22.86535359786789,78.57851806678691,21.90731236574284
21,BRA,55.52344070431769,1.4059150150993638,1155.1475565783437,5.678948665218856,46.452464854359945,28.450648921103216,100.0,5.309982135928921,10.89820136816618,2421.1942257835376,41.66666666666667,5.420559336574102,33.19828861818506,37.778298279074555,9.776686387353609,190.84873440633478,142.02972042777947,28.461591726977247,0.754529654979706,91.485,29.34857032780997,43.95977748976816,35.28799282067826,74.85767583667547,66.02047632348528,33.14466626284064,95.47968025883213,30.12712701876925
22,BRN,29.70862572462658,0.0,8670.244861153975,67.75391675382154,68.76855580187592,38.819496284037,0.06433283747167601,,,307.86862253272636,,0.5212230833863978,33.882707763201466,60.30319176089232,,424.86527630074573,99.76231959991773,21.865760475285327,0.935400187969208,2.199,35.64570434042764,0.0,0.0,18.51879662663209,86.50322755310553,26.20098488973513,75.46176398682499,22.84815412491381
23,BGR,36.27127260881217,0.018269198726035808,426.967150687115,24.519225754482814,52.88958313674188,27.052266757195888,1.3487126880200646,3.09622174361924,4.23937747692593,5734.753336241511,61.66666666666665,1.5532472569729159,11.222028896931361,42.81623864297464,8.235194630491833,118.09167412793732,57.418204055764335,,0.718447744846344,22.903,37.04379275479039,8.94574551256278,0.841363488133311,51.89710829111031,78.55826535886263,28.81617893320925,75.73955694126272,21.69644219937815
24,BFA,50.12341223928773,0.0,33.11866232358849,41.42370039432164,27.443291181890107,69.10372369148277,0.9578825606487453,37.45055791529528,55.48362455562763,218.90677943528658,30.0,5.569603840546962,33.55765397688458,28.222252024527567,6.2777722173102815,32.302410692822924,282.6267390211473,22.60692080161683,0.844546020030975,60.212,27.10258023320898,32.03865930462672,9.588258820230749,78.46174454999635,41.40391286217412,96.48569481923255,83.59665452244447,22.22120504167566
25,BDI,48.5696409429947,0.0,104.89727869615368,16.154333650312577,17.126416833157855,76.82482748521932,0.22890584017863919,100.0,5.860262471617658,506.4548221769179,,10.338342408879333,14.749076289454727,44.84487533346066,3.7340910431830703,14.222080236557533,571.8475693099733,,0.464619815349579,60.982,32.56251312277629,54.30583715142876,31.24947351027231,81.96251505886767,31.42173569270936,34.63643423358526,82.39934229952586,27.60691741778678
26,CPV,65.38760517132866,0.0,58.50073511984242,,50.21358077073666,44.87183749263251,0.01197626213520019,,,612.1342353346598,25.335615873336792,0.6887262994215828,33.04472345974804,28.95033713521758,,,,9.33396483383402,0.989623308181763,117.88,46.28061587909133,93.07381828433353,60.96073441435897,88.35427464609228,50.42596825901382,28.57446063883911,83.14635763262072,19.79221678760818
27,KHM,39.10228220098254,0.0,2.962799769381874,34.84995488537849,40.615317734122385,58.691570266217,1.073586588051075,22.798796054858276,0.19795979058965293,1697.6437295202509,30.0,2.9947288015204983,61.804756737493406,84.66226189082646,10.627825300718314,56.61259179367828,179.94431695677505,57.28096088235183,0.712738335132599,38.791,52.37352146969181,9.272170038662807,0.3057185565878626,77.025778618404,43.66112749088298,31.6728932521583,76.41975908637275,22.39857129608233
28,CMR,41.75198590290728,0.0,4111.791425985103,20.437697659551255,28.18006597400171,60.31094186033151,2.3216759941771428,29.91987157380661,0.6201006517480702,457.6758329096803,28.333333333333332,5.557815972419598,29.65453647883434,36.93200020947182,10.032606834419612,115.08412729185211,511.7252109933825,28.806540263623287,0.849624454975128,40.385,33.77061641166563,39.75362204882271,9.879160036368376,76.141327051506,43.52969400872405,31.42371274438969,79.31631367777868,21.56842714691044
29,CAN,55.46436363229052,2.602061543197828,2129.5993850691593,11.038676555861967,89.71054692129994,7.553519017865354,31.69382068144947,2.6960689840238454,2.5140040308620626,4011.422404737837,98.33333333333336,1.741409934515507,31.128924088919447,23.023491978901433,27.99037908118342,4401.200767022441,626.8959464479316,,0.906276762485504,102.208,48.40317195899252,35.84427344563488,9.477283691423736,75.21380731350375,78.16888369884305,50.84510884934193,76.23765505566912,22.78108867720574
30,CAF,42.1271381204018,0.0,294.0903530753973,,11.562124063720388,82.85929239247764,2.1651262978108203,57.90300350458718,1.4909346332626616,639.4406151226951,,100.0,16.678408877497265,49.80662912309638,4.857813741862267,642.2095692577958,10000.0,38.701299061727305,0.948429942131042,48.503,23.26683229787932,54.94772945271922,9.752871649124472,81.2609909323001,37.97636193560857,21.21098532320172,77.62582921540158,24.59964227738127
31,TCD,36.14348442922713,0.0,8584.41204341237,,20.112494849529895,100.0,1.4413145469116806,27.78018375961465,0.19795979058965293,17.78971376085856,,12.94385019998114,35.14376088116557,37.80535138898301,3.795933976968968,112.57017229217603,878.9977524992919,,0.79140704870224,40.115,23.93424162345138,19.03967017405068,3.205116470616531,75.28969545403501,37.50929959791613,24.49614526882415,79.51255826042903,22.18963301372127
32,CHL,39.8963285259415,0.17769324884671964,53.288290566991314,21.701646875849683,61.96800555639695,21.083072965042827,3.5354069185102124,3.4725593537422585,46.634514669844364,1400.765441414817,75.37442843119304,1.2405331752067361,34.90730629451446,42.24049917663491,10.950489672170745,611.0441963286456,276.50369098409004,19.316048719251487,0.877427399158478,38.497,40.47312766457287,19.94344106370147,3.213244768030791,67.9435669631304,48.92775923990941,38.59475152025847,76.75857608125254,24.71548943261759
33,CHN,46.5939157936263,100.0,126.5650057573211,43.66066171053134,65.38063685598071,25.88095717645752,59.76897868014635,5.857015051758864,1.410786632398371,10000.0,80.0,0.3934410802189433,57.64178354953857,89.65442430013968,13.430633168047951,44.78886899191477,26.708361242058103,56.94336511792457,0.637170553207397,87.155,18.96932597050238,40.75444597935012,4.381118092175711,81.67087804103367,60.98046479196826,27.1266759768255,78.75154573477923,19.55578755600189
34,COL,46.76770941313666,0.07581419927351668,4739.707510775312,19.132127864243678,43.22032926263593,38.43803287281573,9.811967873404166,3.288876763029949,2.890223871527565,1774.639490175534,54.78995482126871,3.180314268804735,35.86969601061741,73.03353925528367,4.097220822863672,135.67416098776525,149.66961074246967,23.0806015944685,0.718732416629791,61.099,37.86376094131947,37.49580951383473,21.40199999472861,73.299737980626,37.27420754777719,33.99524289241996,89.1031805550477,29.37644529247628
35,COM,43.70818780041072,0.0,28.386613433940866,48.27956449917485,20.142294405339538,74.67847422722703,0.01053145633572186,10.152914543696584,0.19795979058965293,308.03105709219165,,1.1666475128962608,38.85094199240265,65.17130482462896,2.8898932071725327,,,,0.635194599628448,35.659,28.06262071323397,64.5559963064785,12.81998238130359,73.33042709221117,49.81820390686335,29.81854980659791,76.80466587688713,22.50424412012092
36,COD,26.88955326332711,0.0,330.35827551763396,0.2724826940043714,11.33054070018526,78.70085004249415,10.603952360203103,45.776476156247234,33.442771222649775,127.5808557286112,20.0,18.831888038054903,13.231796159448686,12.176473849907278,5.789097794313667,129.72112534181903,1581.6924782090612,38.70188205210823,0.938701093196869,8.982,17.75890352222063,7.380306071752841,1.331567356633514,48.53057465963137,33.48016851019192,24.05953090112295,76.71540488777539,23.76752346061541
37,COG,47.879079571824,0.0,5103.803593938536,53.80485247196803,23.817571300253494,67.56421669135537,2.6971675299111184,18.4148822970205,0.19795979058965293,262.7325009287524,16.666666666666664,20.77089701395704,16.60014183915312,29.417490105096768,8.892518151209982,424.46097322206515,1322.8989315676888,,0.748914062976837,89.238,36.93949394036224,24.87289168759446,5.624940470079309,82.24891981090727,36.37917028116532,31.15615963186856,86.59960119026603,37.85253913417282
